filename,validated,survey,worker,natural,patientslikeme,quality,text,recruitment,health,user,patient,trained,user,symptom,crowd-sourcing,participant,validate,data,performance,microtask,crowd-sourced,non-expert,player,crowd,knowledge,diagnosis,players,self-reported,patient-report,citizens,individuals,patient-reported,crowdsourcing,screen,self,experience,extracted,individual,dictionary,23andme,disease,respondents,posts,posts,virus,people,self-report,extraction,extraction,posted,online,posted,online,crowd-source,diseases,medical,users,users,participants,annotate,posting,posting,citizen,crowdsource,turk,image,reliability,query,diagnose,validation,combine,flu,annotated,experienced,extracts,amazon,crowdsourced,workers,gold,recruit,train,extracting,post,post,turkers,extract,extract,numWord
open source drug discovery in practice.txt,0,6,0,0,0,2,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,10953
open source genomic analysis of shiga toxin.pdf.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4461
openSNP a crowdsourced web.pdf.txt,0,2,0,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6589
outcomes research in psoriasis and psoriatic.pdf.txt,0,8,0,1,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0,0,1,0,0,0,0,12,0,0,0,0,0,0,2,2,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3176
partnering against cancer today.pdf.txt,0,4,0,0,2,0,0,0,119,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6663
path scan a reporting tool.pdf.txt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5682
personalising pollution exposure estimates.pdf.txt,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4559
personalized health experiments to optimize well being.pdf.txt,0,4,0,0,2,0,0,2,15,0,0,0,1,1,1,0,1,1,14,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5,0,1,0,0,13,0,0,0,0,1,6,1,1,0,1,0,0,0,1,15,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,8285
placing landmarks in the knowledge space crowdsourcing.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2771
point of decision prompts for increasing.pdf.txt,0,2,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2577
power of crowdsourcing novel methods of data collection.pdf.txt,3,2,0,0,0,0,0,3,9,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,38,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,34,0,0,0,0,0,0,0,0,1,0,7651
provider impressions of the use of a mobile.pdf.txt,0,10,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,51,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5060
putting humans in the loop social computing.pdf.txt,1,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,1,0,1,0,0,3,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,9709
quanitative objective assessment.pdf.txt,7,29,0,0,0,1,0,3,10,0,0,1,0,0,6,0,1,0,219,0,9,0,0,2,0,0,0,4,0,0,2,0,2,1,0,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,38,0,0,0,0,0,0,0,0,0,1,6,0,0,13,0,0,0,23,0,4,0,0,2,1,2,0,0,0,0,0,0,26400
quantifying the imact and extent.pdf.txt,3,0,0,3,0,0,7,0,2,0,0,0,0,0,7,0,2,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,7,0,25,0,0,0,0,0,0,7,7,0,0,0,0,0,21,1,0,0,0,7,0,0,0,0,0,0,1,2,0,14,0,0,37,0,0,1,0,0,4,0,0,0,0,0,0,1,0,14693
ranking and combining multiple predictors.pdf.txt,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6395
rapid grading of fundus photographs.txt,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,3,0,0,2,0,0,1,0,0,6,3,0,0,1,0,0,0,0,0,0,0,4376
rapid information and communication technology.pdf.txt,15,5,0,0,0,0,0,0,2,0,0,0,0,1,0,0,7,0,7,0,1,0,0,2,0,0,0,0,0,0,0,0,14,11,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,4,0,0,3,5,0,1,0,0,0,5,0,0,13,0,0,0,2,0,0,0,0,0,0,55070
research prioritization through prediction.pdf.txt,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7078
situation awareness in crowdsourcing for disease.pdf.txt,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0,29,0,0,0,0,0,0,2,2,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3464
skin self examinations and visual.txt,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6252
social media a comprehensive knowledge synthesis.pdf.txt,2,4,0,1,2,0,0,8,129,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,6,0,0,0,2,21,0,1,0,0,0,0,0,0,0,0,0,2,0,4,119,0,1,0,0,0,0,0,1,0,0,1,0,1,4,0,5,0,1,0,0,1,0,3,2,0,0,0,0,0,0,0,26326
social media a review.txt,2,1,0,1,1,0,0,3,94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,13,0,0,0,1,0,0,0,0,0,0,0,1,0,4,44,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11009
social media activism and egyptians use.pdf.txt,0,3,0,0,0,0,0,0,49,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5234
social networking and dental care.pdf.txt,0,6,0,0,1,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,5065
sourcing the crowd for health services improvement.pdf.txt,0,0,0,0,0,2,0,0,51,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8223
strategies for improved interpretation of computer.pdf.txt,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,70,0,0,2,0,0,0,3,0,0,0,0,0,0,8,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,5,0,0,1,0,0,0,0,0,0,0,13358
systematic analysis of challenge driven.txt,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10931
task assignment with controlled.pdf.txt,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6292
technology conflict early warning.pdf.txt,0,2,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,7266
the cure design and evaluation.txt,0,6,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,1,0,1,0,0,0,0,11,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,6712
the effect of word familiarity on actual.pdf.txt,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3480
the emerging discipline.txt,0,0,0,0,3,0,0,0,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4755
the human hookworm assemblage.pdf.txt,1,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,76,0,0,0,4,0,0,1,1,0,0,0,0,0,40,77,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,29974
the landscape of big data for development.pdf.txt,0,4,0,1,0,0,0,0,58,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,20,0,0,0,2,0,0,1,1,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,15,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12515
the public health exposome.pdf.txt,0,6,0,0,0,0,0,0,315,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,13140
the use of crowdsourcing for dietary self monitoring.txt,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,0,0,0,0,0,0,0,0,5445
toward better benchmarking challenge based.txt,1,0,0,0,0,1,0,0,3,0,0,0,0,0,4,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6597
tracking epidemics with natural language.txt,0,0,0,5,0,2,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,9,0,0,0,2,0,0,1,1,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,18,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5086
tracking replicability as a method.pdf.txt,0,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,10658
transforming participatory science.txt,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11469
twitter chatter about marijuana.txt,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6237
twituational awareness gaining situational.pdf.txt,0,4,0,0,0,0,0,0,174,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,4,0,0,0,0,16,0,4,0,2,3,0,0,0,4,0,0,0,0,1,16,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,11,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,29549
use of health information technology.pdf.txt,0,7,0,0,2,0,0,1,168,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7065
using crowdsourcing technology for testing.txt,1,35,0,0,0,0,0,7,53,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,3,0,0,0,0,0,0,0,4484
using crowdsourcing to compare temporal.pdf.txt,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7065
using online crowdsourcing.pdf.txt,0,8,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5361
using the wisdom of the crowds to find critical.txt,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5105
voting with their mice personal genome.pdf.txt,0,8,0,0,3,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,39,35,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7383
web 20 based crowdsourcing.txt,0,0,0,4,0,25,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,59,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,25,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,1,10,0,36,0,0,0,0,0,2,0,0,7093
why we need crowdsourced data.pdf.txt,1,1,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2669
wiki pi a web server of annotated.pdf.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5696
